Date (dd/mm/yyyy),Description
01/01/2026,วันขึ้นปีใหม่ (New Year's Day)
13/04/2026,วันสงกรานต์
14/04/2026,วันสงกรานต์
15/04/2026,วันสงกรานต์
16/04/2026,วันหยุดบริษัท
17/04/2026,วันหยุดบริษัท
01/05/2026,วันแรงงานแห่งชาติ
08/05/2026,วันหยุดบริษัท
03/06/2026,วันเฉลิมพระชนมพรรษาสมเด็จพระราชินี
27/07/2026,วันหยุดบริษัท
28/07/2026,วันเฉลิมพระชนมพรรษา ร.10
29/07/2026,วันอาสาฬหบูชา
11/08/2026,วันหยุดบริษัท
12/08/2026,วันแม่แห่งชาติ
12/10/2026,วันหยุดบริษัท
13/10/2026,วันคล้ายวันสวรรคต ร.9
23/10/2026,วันปิยมหาราช
10/12/2026,วันรัฐธรรมนูญ
28/12/2026,วันหยุดบริษัท
29/12/2026,วันหยุดบริษัท
30/12/2026,วันหยุดบริษัท
31/12/2026,วันสิ้นปี
01/01/2027,วันขึ้นปีใหม่ (New Year's Day)
