id,type,value,sort_order,is_active
d18f85a2-b649-4670-ad63-9492eed419e5,affected_system,Server,1,true
d58a2032-5c62-437c-8dde-14eeb8c211d8,affected_system,Synology NAS,2,true
e872a6ed-3c3a-4a99-8600-5dde1632fd1d,affected_system,Cisco Meraki,3,true
8e9582ea-cf4d-4920-9ca0-0b20765f2405,affected_system,HPE Aruba,4,true
397e5afa-d1ee-4469-9d48-942cc59bc538,affected_system,Microsoft 365,5,true
9aad99ed-1b91-45cb-84d0-461da9d9ebd0,affected_system,Exchange Online,6,true
b26cfc3a-ad5c-4a25-ad9d-cb632e7713d0,affected_system,OneDrive,7,true
3556b829-6cf1-4f3f-b453-48561942c478,affected_system,SharePoint,8,true
f0db07ea-8865-4653-86cc-9c10425f7c24,affected_system,Microsoft Teams,9,true
2c179c83-c24c-4061-804f-2cca01b7d95e,affected_system,CheckMK,10,true
efabba0f-cced-4971-bce8-84ccfa280329,affected_system,Yeastar PBX,11,true
edfabd35-098e-46b3-828d-eccf2b4d9d07,affected_system,CCTV / NVR,12,true
7d0f4bad-9298-468d-a32d-d81da80a00a3,affected_system,Endpoint / PC,13,true
952ac8dc-bde6-4b2a-94c6-2b41a410910c,affected_system,อื่นๆ,14,true
8be29ca3-4ca8-4ea7-8373-96f05362cbaa,checklist_category,General,0,true
fcd498c5-ab65-47c7-ac73-6986ee1c9db3,checklist_category,CCTV,0,true
d33b6c7b-1a57-40fc-b146-00ad84503a71,checklist_category,Infrastructure,0,true
c9cdb351-68a9-446b-85c5-5696f3329a47,checklist_category,Microsoft 365,0,true
a89120bf-6405-4520-a6ad-983a4a403aed,checklist_category,Network,0,true
b378b0dc-8248-4a2b-9f2d-b93a3d34b390,checklist_category,Server & NAS,0,true
7812f93d-b2ad-43fa-8a9a-f4c2537ee79c,incident_category,Hardware,1,true
21ac5e04-2f03-464e-9da6-1e05fc6ad43f,incident_category,Software,2,true
5dc08d9f-d6ad-47e1-aa3b-43518043df24,incident_category,Network,3,true
df6cc652-0ed6-49c1-92be-5dbe05f094fb,incident_category,Security,4,true
a5882f2f-6c35-4dbb-9132-23ec1ed6a2c0,incident_category,Microsoft 365,5,true
a6c656ff-fb44-40e6-884c-2619c6de7dc6,incident_category,Backup & Recovery,6,true
e917d65a-b76d-4058-a915-23c2297006e4,incident_category,CCTV,7,true
b637c3b4-bee4-4c93-8dc5-72b5de336247,incident_category,Phone System,8,true
3c247ddf-4101-485d-8313-3b368705a8bb,incident_category,อื่นๆ,9,true
35a4b99b-a1e6-4e76-9040-55dc2d871251,sla_exclusion_reason,Waiting for User,1,true
4fc80f5b-3c41-44ca-92cb-02284563cba7,sla_exclusion_reason,Waiting for Vendor,2,true
